track_id,type,traveled_d,avg_speed
517, Heavy Vehicle, 105.20, 11.476375
518, Car, 228.28, 18.343991
519, Taxi, 324.47, 13.677710
520, Taxi, 480.97, 17.177535
521, Motorcycle, 75.20, 26.540541
522, Motorcycle, 480.10, 37.410754
523, Motorcycle, 153.81, 22.148201
524, Taxi, 402.36, 14.963616
525, Motorcycle, 482.25, 41.139731
526, Bus, 105.16, 19.120586
527, Car, 480.45, 36.184693
528, Taxi, 454.66, 20.771434
529, Motorcycle, 449.94, 38.202713
530, Bus, 480.58, 12.815457
531, Car, 79.19, 19.797065
532, Car, 448.32, 25.456522
533, Car, 81.76, 19.364483
534, Motorcycle, 293.18, 14.035320
535, Car, 174.30, 10.818890
536, Car, 49.77, 27.997382
537, Taxi, 191.59, 7.891639
538, Taxi, 209.47, 13.661284
539, Taxi, 478.35, 43.267447
540, Car, 480.08, 42.360287
541, Taxi, 381.53, 13.106053
542, Taxi, 461.85, 42.414913
543, Car, 195.15, 7.474018
544, Motorcycle, 485.39, 43.252482
545, Car, 263.98, 16.052587
546, Car, 479.89, 41.330339
547, Taxi, 487.43, 22.044473
548, Car, 164.42, 11.791406
549, Car, 479.69, 21.008522
550, Taxi, 479.56, 24.044808
551, Car, 196.89, 7.588916
552, Car, 197.20, 7.766998
553, Motorcycle, 183.60, 7.527939
554, Taxi, 198.44, 7.867491
555, Car, 266.16, 12.347408
556, Motorcycle, 61.56, 13.036890
557, Motorcycle, 99.14, 10.315424
558, Taxi, 480.54, 36.651065
559, Car, 207.71, 2.194156
560, Car, 481.55, 31.405439
561, Car, 486.42, 28.706476
562, Taxi, 476.61, 34.592451
563, Motorcycle, 352.14, 15.926021
564, Motorcycle, 37.55, 16.898717
565, Car, 105.72, 25.039229
566, Car, 360.22, 17.667590
567, Heavy Vehicle, 169.23, 1.806677
568, Motorcycle, 356.54, 15.925032
569, Bus, 482.91, 21.785601
570, Motorcycle, 350.65, 15.779120
571, Motorcycle, 333.41, 15.628591
572, Motorcycle, 489.77, 18.999570
573, Motorcycle, 42.23, 13.574866
574, Taxi, 480.49, 38.100850
575, Motorcycle, 481.03, 35.927580
576, Car, 355.03, 14.896251
577, Car, 482.96, 35.195143
578, Car, 238.39, 16.377774
579, Car, 481.40, 21.882001
580, Motorcycle, 236.50, 21.074682
581, Car, 489.24, 19.397315
582, Car, 236.26, 20.251208
583, Car, 385.67, 13.248270
584, Motorcycle, 352.72, 15.872240
585, Taxi, 481.84, 18.651759
586, Taxi, 335.99, 8.494007
587, Car, 481.30, 34.653336
588, Taxi, 347.73, 15.009768
589, Car, 236.86, 13.709184
590, Car, 263.94, 14.663518
591, Car, 53.73, 23.028033
592, Car, 483.29, 19.374484
593, Car, 350.15, 15.485697
594, Car, 70.15, 19.730943
595, Car, 484.16, 19.409573
596, Car, 204.61, 9.516698
597, Taxi, 346.74, 17.193810
598, Taxi, 203.66, 11.279798
599, Car, 349.56, 16.092279
600, Motorcycle, 200.15, 9.531054
601, Taxi, 265.07, 10.843793
602, Car, 204.50, 11.396316
603, Taxi, 352.00, 19.799920
604, Car, 346.94, 12.196989
605, Car, 345.36, 11.663273
606, Taxi, 354.62, 19.168692
607, Motorcycle, 285.87, 11.460115
608, Car, 358.53, 23.813590
609, Taxi, 346.04, 13.570043
610, Motorcycle, 481.49, 33.987389
611, Motorcycle, 416.98, 5.040766
612, Motorcycle, 154.26, 18.511461
613, Taxi, 384.68, 19.233870
614, Car, 481.28, 30.720313
615, Motorcycle, 479.87, 35.256097
616, Taxi, 482.31, 30.040207
617, Motorcycle, 235.05, 24.598560
618, Motorcycle, 311.65, 3.823950
619, Car, 384.39, 19.435373
620, Motorcycle, 54.82, 20.137140
621, Heavy Vehicle, 107.84, 21.098743
622, Car, 483.69, 30.873710
623, Car, 483.54, 29.504281
624, Car, 427.95, 17.232971
625, Motorcycle, 354.45, 14.734642
626, Car, 14.89, 4.467598
627, Medium Vehicle, 480.79, 21.159612
628, Taxi, 384.84, 20.314339
629, Car, 451.18, 20.770470
630, Car, 470.80, 21.729130
631, Taxi, 437.73, 36.143167
632, Motorcycle, 396.99, 21.588401
633, Car, 28.46, 7.215425
634, Car, 467.14, 20.761711
635, Motorcycle, 32.36, 17.648292
636, Motorcycle, 222.29, 16.534318
637, Taxi, 400.77, 18.034828
638, Motorcycle, 468.07, 19.368370
639, Car, 39.08, 12.790166
640, Motorcycle, 279.29, 11.583647
641, Car, 29.55, 3.545661
642, Car, 211.54, 19.134681
643, Motorcycle, 201.09, 28.500928
644, Car, 185.58, 18.766012
645, Motorcycle, 191.45, 23.603391
646, Car, 206.44, 12.857889
647, Car, 183.12, 11.524733
648, Medium Vehicle, 467.06, 31.137498
649, Bus, 467.45, 34.483710
650, Car, 469.86, 30.204979
651, Car, 482.97, 31.844019
652, Motorcycle, 459.86, 39.795297
653, Taxi, 139.13, 28.784549
654, Motorcycle, 461.27, 48.554987
655, Motorcycle, 455.60, 34.749168
656, Taxi, 237.61, 25.158997
657, Motorcycle, 190.23, 33.570484
658, Motorcycle, 227.64, 26.435103
659, Taxi, 489.42, 21.382602
660, Motorcycle, 476.75, 47.150816
661, Medium Vehicle, 256.59, 8.474544
662, Car, 62.54, 26.804934
663, Taxi, 455.10, 21.222481
664, Motorcycle, 50.99, 24.155331
665, Taxi, 486.90, 36.215631
666, Taxi, 490.66, 21.593768
667, Motorcycle, 134.13, 6.781782
668, Taxi, 210.62, 12.939127
669, Motorcycle, 473.24, 35.054537
670, Motorcycle, 50.99, 30.591712
671, Car, 24.40, 16.268797
672, Heavy Vehicle, 185.56, 8.107081
673, Taxi, 279.28, 13.925283
674, Car, 50.29, 26.623218
675, Car, 454.57, 25.254127
676, Car, 265.04, 12.824607
677, Taxi, 481.60, 20.493648
678, Motorcycle, 351.43, 18.605310
679, Car, 489.24, 25.451619
680, Motorcycle, 279.78, 16.298065
681, Car, 265.53, 12.577618
682, Taxi, 50.98, 5.243394
683, Taxi, 479.69, 22.139685
684, Car, 200.35, 16.931369
685, Car, 482.76, 21.350346
686, Taxi, 280.69, 9.236702
687, Car, 346.76, 17.532966
688, Taxi, 349.92, 17.303788
689, Car, 264.49, 10.969556
690, Motorcycle, 350.13, 19.944178
691, Taxi, 350.10, 17.701737
692, Car, 349.97, 11.998995
693, Car, 321.02, 12.139441
694, Motorcycle, 347.50, 23.426738
695, Taxi, 359.37, 12.758720
696, Motorcycle, 266.13, 23.030164
697, Taxi, 317.00, 11.887640
698, Taxi, 348.65, 12.939651
699, Car, 24.10, 14.457705
700, Taxi, 322.18, 12.338888
701, Motorcycle, 213.43, 13.919056
702, Motorcycle, 101.19, 24.284755
703, Car, 479.77, 38.043780
704, Car, 234.95, 30.207648
705, Car, 235.63, 33.135854
706, Car, 480.48, 30.888235
707, Motorcycle, 480.57, 37.939771
708, Bus, 478.35, 34.032734
709, Motorcycle, 454.52, 43.518206
710, Motorcycle, 489.09, 34.796976
711, Heavy Vehicle, 212.48, 13.466827
712, Taxi, 237.48, 28.497696
713, Car, 481.90, 22.530311
714, Motorcycle, 460.95, 44.133374
715, Car, 203.57, 12.548673
716, Motorcycle, 46.78, 26.311435
717, Car, 454.60, 33.813376
718, Motorcycle, 411.86, 36.340967
719, Car, 477.14, 34.771653
720, Car, 438.70, 14.787806
721, Motorcycle, 448.68, 42.730978
722, Taxi, 479.80, 20.710628
723, Taxi, 52.86, 4.285780
724, Taxi, 200.40, 13.213050
725, Taxi, 234.84, 27.628697
726, Car, 234.88, 33.289780
727, Taxi, 201.70, 13.804876
728, Car, 37.83, 2.960491
729, Car, 479.44, 21.203867
730, Motorcycle, 485.23, 40.249191
731, Car, 449.00, 21.157206
732, Car, 450.58, 38.620751
733, Motorcycle, 412.90, 21.114271
734, Car, 451.06, 21.088488
735, Car, 385.82, 7.318013
736, Taxi, 488.55, 22.548558
737, Car, 449.51, 14.071496
738, Motorcycle, 92.12, 7.209444
739, Medium Vehicle, 91.10, 14.259689
740, Motorcycle, 489.15, 14.625801
741, Car, 450.60, 16.827318
742, Car, 214.39, 16.079006
743, Taxi, 73.89, 26.078223
744, Car, 99.89, 9.933982
745, Heavy Vehicle, 358.48, 11.420551
